Заказ,Сумма,Количество,Цена
"Драгоманова 2А CoffeeandFriends, ТРУБОЧКА С КОЛЕНОМ 1000ШТ МИКС И ЧЕРНАЯ, Реализация товаров и услуг 0000004546 от 22.07.2019 11:54:18, <...>",360.00,4.000,90.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000003069 от 14.06.2019 14:14:05, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000003191 от 19.06.2019 14:26:12, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000003333 от 24.06.2019 10:09:55, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000003473 от 27.06.2019 10:08:06, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000003703 от 03.07.2019 13:01:15, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000003838 от 08.07.2019 10:29:57, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000004266 от 16.07.2019 12:51:30, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000004465 от 19.07.2019 13:48:51, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000010440 от 19.11.2019 11:14:21, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000010657 от 23.11.2019 08:38:53, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000010896 от 28.11.2019 14:46:36, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000011145 от 03.12.2019 11:41:19, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000011375 от 07.12.2019 09:15:34, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000011667 от 13.12.2019 09:16:09, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000011893 от 18.12.2019 10:46:04, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000012114 от 23.12.2019 07:48:14, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000012372 от 28.12.2019 07:39:19, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000000032 от 03.01.2020 07:50:38, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000000198 от 08.01.2020 15:46:51, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000000462 от 14.01.2020 12:19:35, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000000708 от 20.01.2020 10:40:55, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000000953 от 24.01.2020 09:34:54, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000001119 от 28.01.2020 09:56:25, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000001165 от 29.01.2020 09:30:29, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000001431 от 04.02.2020 09:25:13, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000001646 от 08.02.2020 09:38:33, <...>","1,080.00",4.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000001882 от 13.02.2020 14:45:41, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000002137 от 19.02.2020 10:21:28, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000002344 от 22.02.2020 09:41:51, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000002581 от 27.02.2020 09:37:59, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000002744 от 02.03.2020 09:33:49, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000003032 от 06.03.2020 10:32:04, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000003103 от 07.03.2020 09:21:08, <...>",810.00,3.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000003415 от 14.03.2020 09:29:11, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000003976 от 14.04.2020 08:47:59, <...>","1,080.00",4.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000004058 от 20.04.2020 10:40:11, <...>","1,080.00",4.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000004144 от 24.04.2020 09:08:58, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000005199 от 30.05.2020 08:35:37, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000005313 от 02.06.2020 12:30:53, <...>","2,700.00",10.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000005531 от 06.06.2020 09:52:06, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000005607 от 09.06.2020 14:21:42, <...>","1,620.00",6.000,270.00
"Драгоманова 2А CoffeeandFriends, ГАЛЫЧИНА 2,5%  молоко 900 мл, Реализация товаров и услуг 0000005760 от 12.06.2020 11:22:57, <...>","1,890.00",7.000,270.00
"Драгоманова 2А CoffeeandFriends, САЛФЕТКА БАРНАЯ 500ШТ БЕЛАЯ , Реализация товаров и услуг 0000003333 от 24.06.2019 10:09:55, <...>",300.00,10.000,30.00
"Драгоманова 2А CoffeeandFriends, САЛФЕТКА БАРНАЯ 500ШТ БЕЛАЯ , Реализация товаров и услуг 0000004546 от 22.07.2019 11:54:18, <...>",150.00,5.000,30.00
